"sname";"confirmed";"dead";"recovered";"active"
"ANDAMAN AND NICOBAR ISLANDS";"4305";"59";"4054";"192"
"ANDHRA PRADESH";"817679";"6659";"784752";"26268"
"ARUNACHAL PRADESH";"14668";"37";"12623";"2008"
"ASSAM";"205635";"923";"193574";"11138"
"BIHAR";"214242";"1076";"205108";"8058"
"CHANDIGARH";"14292";"225";"13402";"665"
"CHATTISGARH";"183588";"1989";"159268";"22331"
"DADRA AND NAGAR HAVELI AND DAMAN AND DIU";"3243";"2";"3192";"49"
"DELHI";"375753";"6423";"338378";"30952"
"GOA";"43201";"597";"40168";"2436"
"GUJARAT";"170878";"3705";"13232";"153941"
"HARYANA";"163817";"1766";"150660";"11391"
"HIMACHAL PRADESH";"21476";"306";"18402";"2768"
"JAMMU AND KASHMIR";"93764";"1466";"85370";"6928"
"JHARKHAND";"100964";"883";"94787";"5294"
"KARNATAKA";"816809";"11091";"741219";"64499"
"KERALA";"418484";"1429";"325166";"91889"
"LADAKH";"6139";"74";"5438";"627"
"LAKSHADWEEP";"0";"0";"0";"0"
"MADHYA PRADESH";"169999";"2929";"157381";"9689"
"MAHARASHTRA";"1666668";"43710";"1494809";"128149"
"MANIPUR";"18051";"160";"13583";"4308"
"MEGHALAYA";"9303";"87";"7890";"1326"
"MIZORAM";"2694";"1";"435";"2258"
"NAGALAND";"8894";"35";"7096";"1763"
"ODISHA";"287099";"1297";"272038";"13764"
"PUDUCHERRY";"34761";"592";"30449";"3720"
"PUNJAB";"132727";"4168";"124293";"4266"
"RAJASTHAN";"193419";"1888";"175977";"15554"
"SIKKIM";"3893";"67";"3558";"268"
"TAMIL NADU";"719403";"11053";"683464";"24886"
"TELANGANA";"237187";"1330";"217401";"18456"
"TRIPURA";"30663";"346";"28737";"1580"
"UTTAR PRADESH";"477895";"6983";"446054";"24858"
"UTTARAKHAND";"61566";"1009";"57012";"3545"
"WEST BENGAL";"365692";"6725";"321873";"37094"
